"Address","DYCOL01","DYCOL02","DYCOL03","DYCOL04","DYCOL05","DYCOL06","DYCOL07","DYCOL08","DYCOL09","DYCOL10","DYCOL11","DYCOL12","DYCOL13","DYCOL14","DYCOL15"
10303037929,"01",1,5224,"47212",5,2,10,7,"0","00001200000000","0","00000156000000","0",1762800000,406800000
10303037926,"01",1,7313,"32110",5,2,8,7,"0","00000720000000","00000010000000","0","0",1.09e+09,3.6e+08
10303037923,"01",1,8332,"49230",5,2,12,4,"0","00000150000000","0","00000030000000","0",4.5e+08,2.7e+08
10310043929,"01",1,7221,"25110",5,2,10,7,"0","00001200000000","0","00000140000000","0",1.7e+09,3.6e+08
10310043929,"03",1,7221,"25110",6,2,10,7,"0","0","0","0","0",0,0
10303039417,"01",1,8322,"49220",5,2,10,6,"0","00000061800000","0","00000006400000","0",2.8e+08,211800000
10310043926,"01",1,5224,"46300",5,2,10,7,"0","00003000000000","00000010000000","00000005000000","00000005000000",3.62e+09,6e+08
10310043926,"03",1,5224,"47212",5,2,10,7,"0","00002500000000","00000005000000","00000120000000","00000002500000",3107500000,4.8e+08
10310043926,"04",1,5224,"46300",6,2,10,7,"0","0","0","0","0",0,0
10303041329,"01",1,5224,"47212",5,2,10,7,"0","00004000000000","0","00000120000000","00000005000000",4.925e+09,8e+08
10303041313,"02",1,7318,"13931",5,2,5,6,"0","00000012000000","0","0","0",6e+07,4.8e+07
10306043018,"01",1,6112,"01250",5,1,5,5,"00000003500000","00000016500000","0","00000001000000","0",1e+08,7.9e+07
10306043026,"01",1,7233,"33120",5,2,8,6,"0","00000012000000","00000005000000","00000058800000","0",2.6e+08,184200000
10316045817,"01",1,6121,"01440",5,1,2,7,"0","00000100000000","0","0","0",1.5e+08,5e+07
10316045826,"01",1,6111,"01110",5,1,10,7,"0","00000011800000","0","00000017000000","0",1.35e+08,106200000
10316045826,"01",1,6121,"01440",5,1,1,7,"00000011250000","00000070000000","0","0","0",3.3e+08,248750000
10322047329,"02",1,8322,"49220",5,2,5,7,"0","00000040000000","00000020000000","00000007500000","0",237500000,1.7e+08
10311044420,"03",1,7412,"45200",5,2,10,7,"0","0","0","00000050000000","0",2e+08,1.5e+08
10311044426,"01",1,6112,"01240",5,1,5,7,"00000050000000","00000058000000","0","00000240000000","0",6e+08,2.52e+08
10311044426,"01",1,6111,"01110",5,1,2,7,"0","00000234600000","0","00000015000000","0",3e+08,50400000
10311044429,"02",1,7422,"95120",5,2,8,6,"0","00000005000000","0","00000180000000","0",5.4e+08,3.55e+08
10306043029,"01",1,8322,"47990",5,2,8,6,"0","00000009000000","00000040000000","00000015000000","0",3.24e+08,2.6e+08
10303039929,"01",1,8322,"49220",5,2,9,7,"0","00000057600000","00000010000000","00000012500000","0",260100000,1.8e+08
10316045823,"01",1,6111,"01190",5,1,3,3,"0","00000033000000","0","00000005000000","0",177500000,139500000
10316045823,"01",1,6121,"01440",5,1,3,7,"00000006250000","00000043500000","0","0","0",6.8e+07,18250000
10322047321,"01",1,5224,"47520",5,2,10,7,"0","00000116000000","0","00000004000000","00000003000000",3.03e+08,1.8e+08
10303036916,"01",1,1321,"15200",4,2,9,6,"00000480000000","00000100000000","00000030000000","00000020000000","00000004000000",9.94e+08,3.6e+08
10303038426,"01",2,9520,"47990",5,2,NA,0,"0","00000020000000","0","00000001500000","0",71500000,5e+07
10401048426,"01",1,8332,"49230",5,2,12,3,"0","00000132000000","0","0","0",5.3e+08,3.98e+08
10416058114,"01",1,6111,"01110",5,1,6,2,"00000003000000","00000005500000","0","00000005000000","0",3.3e+07,19500000
10410055320,"01",1,8332,"49230",5,2,12,4,"0","0","0","0","0",2.5e+08,2.5e+08
10412056914,"01",1,5224,"47212",5,2,10,7,"0","0","00000002000000","00000003000000","0",1.3e+08,1.25e+08
10412056920,"01",1,6111,"01110",5,1,5,3,"0","00000042800000","0","00000065000000","0",3.5e+08,242200000
10410055317,"01",1,8332,"49230",5,2,8,3,"0","0","0","0","0",2e+08,2e+08
10412056917,"01",1,6111,"01110",5,1,4,3,"0","00000037000000","0","00000021500000","0",2.35e+08,176500000
10401048429,"01",1,7124,"43900",5,2,10,5,"0","0","0","0","0",1e+08,1e+08
10405052114,"01",1,6111,"01110",5,1,3,3,"0","00000021000000","0","00000016000000","0",1.95e+08,1.58e+08
10401049717,"01",1,3334,"45100",5,2,8,6,"0","0","00000005000000","00000020000000","00000022000000",3e+08,2.53e+08
10405052129,"01",2,8332,"49220",5,2,3,5,"0","00000012000000","00000005000000","0","0",1.5e+08,1.33e+08
10405052117,"01",1,6121,"01411",5,1,8,7,"0","00000560000000","00000000500000","00000010000000","0",1.03e+09,459500000
10408054517,"01",1,3324,"94200",5,2,5,3,"0","0","0","00000005000000","0",3.2e+08,3.15e+08
10408054520,"01",1,6111,"01110",5,1,5,3,"0","00000110000000","0","00000098000000","0",8.68e+08,6.6e+08
