"Address","MahMorajeh","ShoghlSarparast","NoeKhn","Takmil","TakmilDescA","TakmilDescB","TakmilDescC","Jaygozin","JaygozinDescA","JaygozinDescB","JaygozinDescC","BlkAbdJaygozin","RadifJaygozin","fStat","fEnt","fvfy","user1","user2","user3","user4","Tekrari"
2000033066,"04","از كار افتاده",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,250,1,"Admin",NA,"Admin","Admin",NA
2000033062,"04","چوپان",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,239,1,"Admin",NA,"Admin","Admin",NA
2000033058,"04","درامد بدون كار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,53,0,"Admin",NA,"Admin",NA,NA
2000033056,"04","كارگر گوني بافي",1,2,NA,1,NA,1,NA,NA,NA,"001202","055",4,177,1,"Admin",NA,"Admin",NA,NA
2000021011,"04","دامدار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,75,0,"Admin",NA,"Admin","Admin",NA
2000021021,"04","ابيار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,188,1,"Admin",NA,"Admin",NA,NA
2000021009,"04","دامدار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,199,1,"Admin",NA,"Admin","Admin",NA
2000021015,"04","دامدار",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,85,0,"Admin",NA,"Admin",NA,NA
2000021017,"04","كارگر بتون ريزي",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,77,0,"Admin",NA,"Admin","Admin",NA
2000153071,"04","بيكار",1,2,NA,2,NA,1,NA,NA,NA,"000604","069",5,247,1,"Admin",NA,"Admin","Admin",NA
2000153067,"04","زارع",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,131,1,"Admin",NA,"Admin","Admin",NA
