"Address","MahMorajeh","NeshaniSarparast","NameSarparast","ShoghlSarparast","NoeKhn","Takmil","TakmilDesc","Jaygozin","JaygozinDesc","BlkAbdJaygozin","RadifJaygozin","fStat","fEnt","fvfy","user1","user2","user3","user4"
1270081005,"04",NA,NA,"دبير دبيرستان",1,1,NA,2,NA,NA,NA,4,996,1,"Admin",NA,"Admin",NA
1270009001,"3",NA,NA,"بيکار",1,1,NA,2,NA,NA,NA,4,672,2,"Admin",NA,"Admin",NA
1270009002,"3",NA,NA,"داراي درامد بدون کار",1,1,NA,2,NA,NA,NA,4,614,1,"Admin",NA,"Admin",NA
1270009004,"3",NA,NA,"بنا",1,1,NA,2,NA,NA,NA,4,822,0,"Admin",NA,"Admin",NA
1270009005,"3",NA,NA,"شاطر نانوا",1,1,NA,2,NA,NA,NA,4,673,0,"Admin",NA,"Admin",NA
1270101001,"3",NA,NA,"فروشنده خوار و بار",1,1,NA,2,NA,NA,NA,4,917,0,"Admin",NA,"Admin",NA
1270101002,"3",NA,NA,"داراي درامد بدون کار",1,1,NA,2,NA,NA,NA,4,523,1,"Admin",NA,"Admin",NA
1270101003,"3",NA,NA,"خوار و بار فروش",1,1,NA,2,NA,NA,NA,3,648,0,"Admin",NA,"Admin",NA
1270101004,"3",NA,NA,"شيريني پز",1,1,NA,2,NA,NA,NA,3,645,1,"Admin",NA,"Admin",NA
1270101005,"3",NA,NA,"داراي درامد بدون کار",1,1,NA,2,NA,NA,NA,3,876,0,"Admin",NA,"Admin",NA
1270085001,"2",NA,NA,"کار گر ساده حمل بار",1,1,NA,2,NA,NA,NA,4,869,1,"Admin",NA,"Admin",NA
1270085002,"2",NA,NA,"مدير مدرسه ابتدايي",1,1,NA,2,NA,NA,NA,4,916,0,"Admin",NA,"Admin",NA
1270085003,"2",NA,NA,"سرپرست خوابگاه",1,1,NA,2,NA,NA,NA,3,1218,0,"Admin",NA,"Admin",NA
1270085004,"2",NA,NA,"فروشنده لوازم کادوئي",1,1,NA,2,NA,NA,NA,4,930,0,"Admin",NA,"Admin",NA
